Year;Month;Count of Processo;Count of Cliente do Processo;Count of Cliente;Count of Nº NF;Sum of Valor Total
2022;January;110;49;55;216;R$ 53.818.827,81
2022;February;112;49;55;194;R$ 39.237.201,19
2022;March;180;55;61;371;R$ 70.039.940,44
2022;April;129;54;63;236;R$ 40.377.611,75
2022;May;129;53;60;217;R$ 33.372.433,88
2022;June;148;58;68;236;R$ 46.176.503,53
2022;July;136;65;72;309;R$ 48.808.653,19
2022;August;145;63;79;240;R$ 43.772.731,52
2022;September;144;59;73;356;R$ 47.770.516,39
2022;October;141;68;73;237;R$ 44.371.790,37
2022;November;146;56;69;300;R$ 51.443.431,33
2022;December;154;64;73;322;R$ 60.723.285,99
2023;January;135;61;78;264;R$ 45.838.514,43
2023;February;130;55;64;244;R$ 37.289.106,51
2023;March;152;62;72;280;R$ 52.795.123,92
2023;April;136;67;81;241;R$ 32.774.847,08
2023;May;164;68;84;332;R$ 43.413.873,41
2023;June;150;68;86;341;R$ 39.577.039,40
2023;July;144;59;70;300;R$ 35.704.906,76
2023;August;170;68;85;394;R$ 54.236.921,32
2023;September;162;62;78;335;R$ 46.055.980,88
2023;October;189;68;82;429;R$ 59.596.026,59
2023;November;174;64;81;427;R$ 54.061.545,35
2023;December;169;60;71;415;R$ 51.416.086,46
