Cliente do Processo;Sum of Valor Total;%GT Sum of Valor Total;Count of Processo;Year
TURIMEX IMPORTACAO E EXPORTACAO LTDA;4389097,72;"22;89%";32;2023
TURIMEX IMPORTACAO E EXPORTACAO LTDA;2454319,5500000003;"12;80%";18;2024
CARLOS AUGUSTO KOPPE FERNANDES & CIA LTDA;1851887,3599999999;"9;66%";8;2024
CARLOS AUGUSTO KOPPE FERNANDES & CIA LTDA;1677238,29;"8;75%";9;2023
JEVIN COMERCIO E SERVICOS LTDA;941254,9400000002;"4;91%";9;2024
JEVIN COMERCIO E SERVICOS LTDA;802248,5;"4;18%";22;2023
MERC DIESEL DISTRIBUIDORA DE PECAS LTDA;556643,49;"2;90%";4;2024
ANBORDU COMERCIAL IMPORTADORA E EXPORTADORA LTDA ME;542569,85;"2;83%";10;2023
MERC DIESEL DISTRIBUIDORA DE PECAS LTDA;510848,4200000001;"2;66%";5;2023
FLEXO COMERCIAL LTDA;390206,6;"2;04%";5;2023
FLYSTONE - MARMORES E GRANITOS LTDA;351945,89;"1;84%";3;2024
PAZIGRAM PAZINI GRANITOS E MARMORES LTDA;338432,12;"1;77%";1;2023
FLYSTONE - MARMORES E GRANITOS LTDA;316630,44999999995;"1;65%";2;2023
NORTES TRANSPORTE COMERCIO E SERVICOS LTDA;302506,28;"1;58%";1;2024
CAMAR CAMARAO MARICULTURA LTDA;258879,54;"1;35%";2;2023
MT GRANITOS LTDA;254031,16;"1;33%";2;2023
J&F MARMORES GRANITOS E IMPORTADOS LTDA;219789,37;"1;15%";2;2023
ANBORDU COMERCIAL IMPORTADORA E EXPORTADORA LTDA ME;205805,73000000004;"1;07%";8;2024
AITEC COMERCIO LTDA;186438,14;"0;97%";1;2024
MP ACOS MATERIAIS SIDERURGICOS LTDA ME;183248,21000000002;"0;96%";3;2023
MT GRANITOS LTDA;163849,8;"0;85%";1;2024
Macroex Comercial Importadora e Exportadora Ltda;153960,02000000002;"0;80%";1;2023
PANVAC INDUSTRIA DE MAQUINAS E PECAS LTDA;148220,19;"0;77%";2;2024
ASAFE PRESENTES LTDA;147811,38;"0;77%";1;2024
MP ACOS MATERIAIS SIDERURGICOS LTDA ME;133075,46;"0;69%";1;2024
ASAFE PRESENTES LTDA;131776,06;"0;69%";1;2023
DECORAL STONES INDUSTRIAL DE GRANITOS LTDA - EPP;124965,37;"0;65%";2;2023
GRANLUB GRANITOS LTDA EPP;120060,09;"0;63%";2;2023
DUETTO SERVICOS DE MARMORES & GRANITOS LTDA;119039,37;"0;62%";1;2023
Z - LION BRASIL ARTIGOS PARA MARMORARIA LTDA;117752,90999999999;"0;61%";1;2023
EMBALEV IND DE EMBALAGENS LTDA;113213,75;"0;59%";1;2023
DUETTO SERVICOS DE MARMORES & GRANITOS LTDA;108416,95999999999;"0;57%";1;2024
COLATINA MARMORES E GRANITOS LTDA;99204,14;"0;52%";1;2023
TERRA GRANITOS SC;95194,6;"0;50%";1;2023
VIMINAS VIDROS ESPECIAIS LTDA;74038,56;"0;39%";1;2024
ELETRICA ENERGY LTDA;67513,85;"0;35%";1;2023
PANVAC INDUSTRIA DE MAQUINAS E PECAS LTDA;64711,97;"0;34%";1;2023
GAP STONE MARMORES E GRANITOS LTDA;61568,98;"0;32%";1;2023
ALESSANDRO GRANITOS LTDA;60603,200000000004;"0;32%";1;2023
MARMIL MARMORE MIMOSO COMERCIO EXPORTACAO E IMPORTACAO LTDA;59728,93;"0;31%";1;2023
ELETRICA ENERGY LTDA;58956,11;"0;31%";1;2024
DUAS BARRAS INDUSTRIA DE GRANITOS E MARMORES LTDA EPP;56275,32;"0;29%";1;2023
SUPER CLASSICO COMERCIO IMPORTACAO E EXPORTACAO LTDA;45602,740000000005;"0;24%";1;2023
HP AUTOMACAO LTDA;43856,020000000004;"0;23%";1;2023
ACM STONE DO BRASIL LTDA;35493,6;"0;19%";1;2023
BSPIN IMPORTACAO E EXPORTACAO LTDA;32697,16;"0;17%";1;2024
